简介（方式·小区名 户型 朝向）,区,地铁站,村,面积大小（㎡）,朝向,户型,楼层类型,楼层（层）,标签
整租·长桥一村 1室0厅 南,徐汇,长桥,长桥一村,39,南,1室0厅1卫,高楼层                        ,6,随时看房
整租·馨宁公寓 1室1厅 南,徐汇,华泾,馨宁公寓,42,南,1室1厅1卫,高楼层                        ,29,"精装,随时看房"
整租·长桥三村 2室1厅 南,徐汇,长桥,长桥三村,51,南,2室1厅1卫,高楼层                        ,6,随时看房
整租·东湾小区 1室1厅 南,徐汇,华泾,东湾小区,47,南,1室1厅1卫,中楼层                        ,6,随时看房
整租·花苑村紫竹园 1室1厅 南,徐汇,康健,花苑村紫竹园,42,南,1室1厅1卫,高楼层                        ,6,随时看房
整租·梅陇五村 1室1厅 南,徐汇,华东理工,梅陇五村,48,南,1室1厅1卫,高楼层                        ,6,"精装,随时看房"
整租·华松小区 1室1厅 南,长宁,北新泾,华松小区,55,南,1室1厅1卫,高楼层                        ,7,"近地铁,随时看房"
整租·长桥新村 1室0厅 南,徐汇,长桥,长桥新村,36,南,1室0厅1卫,中楼层                        ,5,随时看房
整租·新泾六村 1室0厅 南,长宁,北新泾,新泾六村,35,南,1室0厅1卫,高楼层                        ,6,"近地铁,随时看房"
整租·桃源新村 1室1厅 北,黄浦,老西门,桃源新村,30,北,1室1厅1卫,低楼层                        ,7,"新上,近地铁,精装,随时看房"
整租·绿园十二村 1室1厅 南/北,长宁,西郊,绿园十二村,46,南 北,1室1厅1卫,高楼层                        ,6,随时看房
整租·花苑茶花园 1室0厅 南,徐汇,康健,花苑茶花园,34,南,1室0厅1卫,高楼层                        ,6,随时看房
整租·科宁公寓 1室1厅 南,长宁,中山公园,科宁公寓,46,南,1室1厅1卫,中楼层                        ,24,"新上,近地铁,精装,随时看房"
整租·绿园一村 2室1厅 南/北,长宁,北新泾,绿园一村,56,南 北,2室1厅1卫,中楼层                        ,6,"新上,近地铁,随时看房"
